s01.smote.fold_details,"[{'model': 'LogReg', 'fold': 1, 'acc': 0.5, 'macro_f1': 0.5, 'confusion_matrix': [[2, 3], [1, 2]]}, {'model': 'LogReg', 'fold': 2, 'acc': 0.5, 'macro_f1': 0.4666666666666667, 'confusion_matrix': [[3, 2], [2, 1]]}, {'model': 'LogReg', 'fold': 3, 'acc': 0.375, 'macro_f1': 0.2727272727272727, 'confusion_matrix': [[0, 4], [1, 3]]}, {'model': 'LogReg', 'fold': 4, 'acc': 0.5, 'macro_f1': 0.4666666666666667, 'confusion_matrix': [[1, 3], [1, 3]]}, {'model': 'LogReg', 'fold': 5, 'acc': 0.625, 'macro_f1': 0.6190476190476191, 'confusion_matrix': [[3, 1], [2, 2]]}, {'model': 'LinearSVM', 'fold': 1, 'acc': 0.625, 'macro_f1': 0.6190476190476191, 'confusion_matrix': [[2, 3], [0, 3]]}, {'model': 'LinearSVM', 'fold': 2, 'acc': 0.25, 'macro_f1': 0.2, 'confusion_matrix': [[2, 3], [3, 0]]}, {'model': 'LinearSVM', 'fold': 3, 'acc': 0.25, 'macro_f1': 0.2, 'confusion_matrix': [[0, 4], [2, 2]]}, {'model': 'LinearSVM', 'fold': 4, 'acc': 0.5, 'macro_f1': 0.3333333333333333, 'confusion_matrix': [[0, 4], [0, 4]]}, {'model': 'LinearSVM', 'fold': 5, 'acc': 0.875, 'macro_f1': 0.873015873015873, 'confusion_matrix': [[4, 0], [1, 3]]}, {'model': 'SVM_RBF', 'fold': 1, 'acc': 0.375, 'macro_f1': 0.36507936507936506, 'confusion_matrix': [[1, 4], [1, 2]]}, {'model': 'SVM_RBF', 'fold': 2, 'acc': 0.625, 'macro_f1': 0.6190476190476191, 'confusion_matrix': [[3, 2], [1, 2]]}, {'model': 'SVM_RBF', 'fold': 3, 'acc': 0.375, 'macro_f1': 0.2727272727272727, 'confusion_matrix': [[0, 4], [1, 3]]}, {'model': 'SVM_RBF', 'fold': 4, 'acc': 0.5, 'macro_f1': 0.5, 'confusion_matrix': [[2, 2], [2, 2]]}, {'model': 'SVM_RBF', 'fold': 5, 'acc': 0.625, 'macro_f1': 0.6190476190476191, 'confusion_matrix': [[2, 2], [1, 3]]}, {'model': 'RandomForest', 'fold': 1, 'acc': 0.25, 'macro_f1': 0.2, 'confusion_matrix': [[2, 3], [3, 0]]}, {'model': 'RandomForest', 'fold': 2, 'acc': 0.375, 'macro_f1': 0.2727272727272727, 'confusion_matrix': [[3, 2], [3, 0]]}, {'model': 'RandomForest', 'fold': 3, 'acc': 0.125, 'macro_f1': 0.1111111111111111, 'confusion_matrix': [[0, 4], [3, 1]]}, {'model': 'RandomForest', 'fold': 4, 'acc': 0.25, 'macro_f1': 0.2, 'confusion_matrix': [[2, 2], [4, 0]]}, {'model': 'RandomForest', 'fold': 5, 'acc': 0.625, 'macro_f1': 0.5636363636363637, 'confusion_matrix': [[4, 0], [3, 1]]}, {'model': 'GradBoost', 'fold': 1, 'acc': 0.5, 'macro_f1': 0.5, 'confusion_matrix': [[2, 3], [1, 2]]}, {'model': 'GradBoost', 'fold': 2, 'acc': 0.625, 'macro_f1': 0.6190476190476191, 'confusion_matrix': [[2, 3], [0, 3]]}, {'model': 'GradBoost', 'fold': 3, 'acc': 0.625, 'macro_f1': 0.6190476190476191, 'confusion_matrix': [[3, 1], [2, 2]]}, {'model': 'GradBoost', 'fold': 4, 'acc': 0.5, 'macro_f1': 0.5, 'confusion_matrix': [[2, 2], [2, 2]]}, {'model': 'GradBoost', 'fold': 5, 'acc': 0.625, 'macro_f1': 0.5636363636363637, 'confusion_matrix': [[4, 0], [3, 1]]}, {'model': 'XGBoost', 'fold': 1, 'acc': 0.375, 'macro_f1': 0.36507936507936506, 'confusion_matrix': [[1, 4], [1, 2]]}, {'model': 'XGBoost', 'fold': 2, 'acc': 0.25, 'macro_f1': 0.2, 'confusion_matrix': [[2, 3], [3, 0]]}, {'model': 'XGBoost', 'fold': 3, 'acc': 0.25, 'macro_f1': 0.25, 'confusion_matrix': [[1, 3], [3, 1]]}, {'model': 'XGBoost', 'fold': 4, 'acc': 0.5, 'macro_f1': 0.5, 'confusion_matrix': [[2, 2], [2, 2]]}, {'model': 'XGBoost', 'fold': 5, 'acc': 0.75, 'macro_f1': 0.7333333333333334, 'confusion_matrix': [[4, 0], [2, 2]]}]"
s02.subject,s02
s02.plain.models.SVM_RBF.acc_mean,0.55
s02.plain.models.SVM_RBF.acc_std,0.12747548783981963
s02.plain.models.SVM_RBF.f1_mean,0.529076479076479
s02.plain.models.SVM_RBF.f1_std,0.12777876774952343
s02.plain.models.SVM_RBF.n_splits,5
s02.plain.models.LogReg.acc_mean,0.5
s02.plain.models.LogReg.acc_std,0.1767766952966369
s02.plain.models.LogReg.f1_mean,0.47574314574314575
s02.plain.models.LogReg.f1_std,0.18537054221858199
s02.plain.models.LogReg.n_splits,5
s02.plain.models.GradBoost.acc_mean,0.45
s02.plain.models.GradBoost.acc_std,0.06123724356957945
s02.plain.models.GradBoost.f1_mean,0.40756132756132757
s02.plain.models.GradBoost.f1_std,0.07805800767580885
s02.plain.models.GradBoost.n_splits,5
